State,7-day-average-known-cases,7-day-average-known-deaths,known-cases,known-deaths,Postal Code,state-FIPS,Name,Population
Alabama,429,13,514098,10530,AL,1,Alabama,4888278
Alaska,148,0,59627,298,AK,2,Alaska,737598
Arizona,620,32,839892,16918,AZ,4,Arizona,7170593
Arkansas,187,7,329865,5642,AR,5,Arkansas,3013524
California,2416,234,3562191,57755,CA,6,California,39563425
Colorado,1317,4,457600,6103,CO,8,Colorado,5697493
Connecticut,1217,5,305210,7869,CT,9,Connecticut,3572600
Delaware,347,3,94062,1544,DE,10,Delaware,967306
District of Columbia,125,1,44051,1056,DC,11,District of Columbia,702442
Florida,4957,63,2039064,33175,FL,12,Florida,21299401
Georgia,932,48,849002,16500,GA,13,Georgia,10518027
Hawaii,87,1,29306,462,HI,15,Hawaii,1420871
Idaho,287,2,179428,1956,ID,16,Idaho,1754403
Illinois,2163,24,1235581,21233,IL,17,Illinois,12740573
Indiana,850,12,686643,13014,IN,18,Indiana,6692059
Iowa,539,6,349142,5717,IA,19,Iowa,3155975
Kansas,0,0,301395,4913,KS,20,Kansas,2911731
Kentucky,61100,41,848355,6010,KY,21,Kentucky,4468202
Louisiana,471,14,443133,10088,LA,22,Louisiana,4659640
Maine,194,1,49653,736,ME,23,Maine,1336830
Maryland,1100,12,406714,8198,MD,24,Maryland,6042598
Massachusetts,1839,31,590961,17051,MA,25,Massachusetts,6902416
Michigan,4661,20,723700,17050,MI,26,Michigan,9989227
Minnesota,1365,7,513834,6825,MN,27,Minnesota,5610414
Mississippi,249,6,304422,7002,MS,28,Mississippi,2986105
Missouri,337,11,487365,8454,MO,29,Missouri,6125571
Montana,162,3,104110,1437,MT,30,Montana,1062216
Nebraska,278,5,206468,2174,NE,31,Nebraska,1929058
Nevada,262,9,297503,5123,NV,32,Nevada,3034367
New Hampshire,294,2,82374,1231,NH,33,New Hampshire,1357381
New Jersey,6780,35,892024,24382,NJ,34,New Jersey,8908779
New Mexico,190,5,190890,3925,NM,35,New Mexico,2095617
New York,7595,82,1826545,49619,NY,36,New York,11146421
North Carolina,1466,30,905528,12033,NC,37,North Carolina,10385378
North Dakota,146,1,102543,1468,ND,38,North Dakota,760126
Ohio,1310,18,1008917,18913,OH,39,Ohio,11688351
Oklahoma,588,9,436914,4850,OK,40,Oklahoma,3942917
Oregon,328,2,163295,2373,OR,41,Oregon,4188842
Pennsylvania,3578,30,1009565,24989,PA,42,Pennsylvania,12810272
Rhode Island,341,5,127986,2594,RI,44,Rhode Island,1057329
South Carolina,1103,18,548114,9108,SC,45,South Carolina,5083662
South Dakota,264,2,117368,1933,SD,46,South Dakota,882294
Tennessee,1168,15,806796,11821,TN,47,Tennessee,6769574
Texas,3739,106,2771109,47073,TX,48,Texas,28698545
Utah,539,9,384562,2120,UT,49,Utah,3161164
Vermont,153,1,18624,224,VT,50,Vermont,626923
Virginia,1677,9,614341,10272,VA,51,Virginia,8515431
Washington,905,6,361115,5221,WA,53,Washington,7537127
West Virginia,502,5,140613,2639,WV,54,West Virginia,1805427
Wisconsin,670,4,633667,6635,WI,55,Wisconsin,5814031
Wyoming,66,0,56047,696,WY,56,Wyoming,577605
INDIA Country,14000,100,10977387,156212,INDIA,0,INDIA Country,1388641937
