Index,AI_Models,Pkl_Model,Notes
20,Reference Model,Pickle_LGBREGQNT.pkl,LGB- Regressor-QNT (Regressor)
1,AI Model 1,Pickle_RForest.pkl,Random Forest (Classifier)
2,AI Model 2 (L),Pickle_RForest_Big.pkl,Random Forest (Classifier)
3,AI Model 3 (Fast),Pickle_D3Forest.pkl,Decision Tree Forest (Classifier)
4,AI Model 4 (Fast) (L),Pickle_D3Forest_Big.pkl,Decision Tree Forest (Classifier)
5,AI Model 5,Pickle_svc_model.pkl,SVM- Linear Model (Classifier)
6,AI Model 6,Pickle_gnb.pkl,Gaussian N-Bays (Classifer)
7,"AI Model 7 (VERY Slow- Do Not Use, if You have too!)",Pickle_neigh.pkl,KNN Model
8,AI Model 8,Pickle_LGBGBDT.pkl,LGB-Classifier (Classifier)
9,AI Model 9 (Slow),Pickle_LGBDART.pkl,LGB-ART (Classifier)
10,AI Model 10,Pickle_LGBRFClass.pkl,LGB- Random Forest-bin (Classifier)
11,AI Model 11 (L),Pickle_LGBRFClass_Big.pkl,LGB- Random Forest-bin (Classifier)
12,AI Model 12,Pickle_LGBGOSS.pkl,LGB- Goss-QBin (Classifier)
13,AI Model 13,Pickle_LGBREGQNT.pkl,LGB- Regressor-QNT (Regressor)
14,AI Model 14 (L),Pickle_LGBREGQNT_Big.pkl,LGB- Regressor-QNT (Regressor)
15,AI Model 15,Pickle_LGBRF.pkl,LGB- Random Forest-QNT (Regressor)
16,AI Model 16 (L),Pickle_LGBRF_Big.pkl,LGB- Random Forest-QNT (Regressor)
21,AI Model  (aggregator),Pickle_LGBREGQNT_Big.pkl,LGB- Aggregator-QNT (Regressor)
